,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
2445,Blackmailer,-2009.0,0,,6.0,,Aviraj,Rati Agnihotri,Rajesh Khanna,Aushim Khetarpal,Aviraj Rati Agnihotri Rajesh Khanna Aushim Khetarpal
2446,Blackmailer,-1959.0,0,Thriller,6.0,,Sultan,Amarnath,Habib,Naazi,Sultan Amarnath Habib Naazi
2447,Blank,-2019.0,107,"Action, Thriller",6.2,933,Behzad Khambata,Sunny Deol,Karan Kapadia,Karanvir Sharma,Behzad Khambata Sunny Deol Karan Kapadia Karanvir Sharma
2448,Blast Barood,-2001.0,0,Action,6.0,,Chandramohan,Tottempudi Gopichand,Sneha,,Chandramohan Tottempudi Gopichand Sneha 
2449,Blind,-1991.0,0,"Crime, Thriller",6.0,,Shome Makhija,Sonam Kapoor,Lucy Aarden,Lillete Dubey,Shome Makhija Sonam Kapoor Lucy Aarden Lillete Dubey
2450,Blind Mind,-2020.0,0,Drama,6.0,,Vajshi G. Vavnotia,Vije Bhatia,Niharika Choukesey,Shreyanshi Barot,Vajshi G. Vavnotia Vije Bhatia Niharika Choukesey Shreyanshi Barot
2451,Blood,-2019.0,0,Drama,6.0,,Aslam Basha Shaik,Anwar Basha Siddiqui,Gaddam Sakar,Sushma,Aslam Basha Shaik Anwar Basha Siddiqui Gaddam Sakar Sushma
2452,Blood Money,-2012.0,109,"Action, Crime, Drama",5.0,981,Vishal Mahadkar,Manish Chaudhary,Kunal Khemu,Amrita Puri,Vishal Mahadkar Manish Chaudhary Kunal Khemu Amrita Puri
2453,Blood Relation,-2015.0,0,Drama,6.3,6,Sanjeev Kumar Rajput,Sunny Thakur,,,Sanjeev Kumar Rajput Sunny Thakur  
2454,Blood Sugar,-2020.0,81,Thriller,6.0,,Desparado,Ajinkya,Rajeev Bharadwaj,Baby Mahali,Desparado Ajinkya Rajeev Bharadwaj Baby Mahali
2455,Bloody D,-1991.0,112,"Horror, Thriller",6.0,,Aslam Khan,Aditya Pancholi,Sanaa,Deep Joshi,Aslam Khan Aditya Pancholi Sanaa Deep Joshi
2456,Bloody Isshq,-2013.0,0,"Drama, Romance",7.2,35,Arup Dutta,Akash,Shilpa Anand,Karan Veer Mehra,Arup Dutta Akash Shilpa Anand Karan Veer Mehra
2457,Bloody Psycho,-2017.0,115,Thriller,6.0,,Irfan Khan,Soni Patel,Brijesh Tiwari,,Irfan Khan Soni Patel Brijesh Tiwari 
2458,Blue,-2009.0,119,"Action, Adventure, Mystery",3.7,"4,674",Anthony D'Souza,Akshay Kumar,Sanjay Dutt,Lara Dutta,Anthony D'Souza Akshay Kumar Sanjay Dutt Lara Dutta
2459,Blue Mountains,-2017.0,134,"Drama, Family, Musical",5.7,51,Suman Ganguli,Sapna Awasthi,Nitin Bali,Amit Behl,Suman Ganguli Sapna Awasthi Nitin Bali Amit Behl
2460,Blue Night: The Dangerous Game,-2000.0,0,Thriller,6.0,,Munir Khan,Mohan Joshi,Rubina Khan,Kiran Kumar,Munir Khan Mohan Joshi Rubina Khan Kiran Kumar
2461,Blue Oranges,-2009.0,114,Mystery,6.5,201,Rajesh Ganguly,Rajit Kapoor,Aham Sharma,Pooja Kanwal,Rajesh Ganguly Rajit Kapoor Aham Sharma Pooja Kanwal
2462,"Blue Skies, Green Waters, Red Earth",-2013.0,137,"Adventure, Drama, Romance",7.7,"3,446",Sameer Thahir,Dulquer Salmaan,Sunny Wayne,Bala Hijam,Sameer Thahir Dulquer Salmaan Sunny Wayne Bala Hijam
2463,Bluff Master,-1963.0,135,Romance,6.5,112,Manmohan Desai,Shammi Kapoor,Saira Banu,Niranjan Sharma,Manmohan Desai Shammi Kapoor Saira Banu Niranjan Sharma
2464,Bluffmaster,-2005.0,137,"Comedy, Crime, Drama",6.6,"5,950",Rohan Sippy,Abhishek Bachchan,Priyanka Chopra Jonas,Riteish Deshmukh,Rohan Sippy Abhishek Bachchan Priyanka Chopra Jonas Riteish Deshmukh
2465,Bob Biswas,-1991.0,0,"Crime, Drama, Thriller",6.0,,Diya Annapurna Ghosh,Abhishek Bachchan,Chitrangda Singh,Amar Upadhyay,Diya Annapurna Ghosh Abhishek Bachchan Chitrangda Singh Amar Upadhyay
2466,Bobby,-1973.0,168,"Comedy, Musical, Romance",7.1,"1,776",Raj Kapoor,Dimple Kapadia,Rishi Kapoor,Pran,Raj Kapoor Dimple Kapadia Rishi Kapoor Pran
2467,Bobby Darogan,-2020.0,0,"Comedy, Crime, Drama",6.0,,Vivek Sharama,Pratap Kumar,Monika Himachali,Rajveer Singh Dangi,Vivek Sharama Pratap Kumar Monika Himachali Rajveer Singh Dangi
2468,Bobby Jasoos,-2014.0,121,"Comedy, Drama, Thriller",5.5,"2,189",Samar Iqbal,Vidya Balan,Ali Fazal,Mahima A,Samar Iqbal Vidya Balan Ali Fazal Mahima A
2469,Bobby: Love and Lust,-2005.0,125,Romance,4.8,37,Rakesh Parmaar,Usha Bachani,Monalisa,Hyder Kazmi,Rakesh Parmaar Usha Bachani Monalisa Hyder Kazmi
2470,Body,-2021.0,0,Mystery,6.0,,Abhijit Mazumdar,Khushboo Upadhyay,Jatin Negi,Manoj Sharmaa,Abhijit Mazumdar Khushboo Upadhyay Jatin Negi Manoj Sharmaa
2471,Bodyguard,-2011.0,130,"Action, Comedy, Drama",4.7,"23,602",Siddique,Salman Khan,Kareena Kapoor,Raj Babbar,Siddique Salman Khan Kareena Kapoor Raj Babbar
2472,Bohlol Dana - A Sage of Baghdad,-2010.0,117,History,8.2,6,Abdul Qayyoom Khan,,,,Abdul Qayyoom Khan   
2473,Boichek,-2017.0,85,"Drama, Thriller",6.3,24,Santosh Sivan,Chandra Shekhar Dutta,Sugandha Garg,Brijendra Kala,Santosh Sivan Chandra Shekhar Dutta Sugandha Garg Brijendra Kala
2474,Bokshi,-1991.0,0,"Horror, Fantasy",6.0,,Bhargav Saikia,,,,Bhargav Saikia   
2475,Bokul,-1954.0,0,,6.0,,Bholanath Mitra,Uttam Kumar,Manorama,,Bholanath Mitra Uttam Kumar Manorama 
2476,Bol Bachchan,-2012.0,155,"Action, Comedy",5.5,"8,367",Rohit Shetty,Amitabh Bachchan,Abhishek Bachchan,Ajay Devgn,Rohit Shetty Amitabh Bachchan Abhishek Bachchan Ajay Devgn
2477,Bol Radha Bol,-1992.0,164,"Action, Comedy, Crime",6.1,760,David Dhawan,Rishi Kapoor,Juhi Chawla,Kader Khan,David Dhawan Rishi Kapoor Juhi Chawla Kader Khan
2478,Bold,-2006.0,0,Crime,4.7,28,K.C. Bokadia,Tanvi Verma,Prem Chopra,Shakti Kapoor,K.C. Bokadia Tanvi Verma Prem Chopra Shakti Kapoor
2479,Bold & Beautiful Sherni,-2017.0,0,Action,6.0,,Dhananjay Galani,Rajesh Desai,Rahul Dutta,Dhananjay Galani,Dhananjay Galani Rajesh Desai Rahul Dutta Dhananjay Galani
2480,Bole Chudiyan,-2021.0,0,"Comedy, Drama, Romance",6.0,,Shamas Nawab Siddiqui,Tamannaah Bhatia,Nawazuddin Siddiqui,Rajpal Yadav,Shamas Nawab Siddiqui Tamannaah Bhatia Nawazuddin Siddiqui Rajpal Yadav
2481,Bole India Jai Bhim,-2016.0,150,Biography,7.9,20,Subodh Nagdeve,Shyam Bhimsaria,Sameer Deshpande,Jeetendra Doshi,Subodh Nagdeve Shyam Bhimsaria Sameer Deshpande Jeetendra Doshi
2482,Bollywood Diaries,-2016.0,125,Drama,6.0,257,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi,K.D. Satyam Raima Sen Salim Diwan Ashish Vidyarthi
2483,Bollywood Villa,-2014.0,124,Thriller,4.8,12,Chandersen Singh,Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia,Chandersen Singh Arun Bakshi Piyush Bhalodiya Deepak Bhatia
2484,Bollywood Zindabad,-2021.0,0,Biography,6.0,,Rishab Bhardwaj,Preeti,,,Rishab Bhardwaj Preeti  
2485,Bollywood: The Greatest Love Story Ever Told,-2011.0,81,Documentary,6.1,115,Rakeysh Omprakash Mehra,Jeff Zimbalist,Amitabh Bachchan,Aishwarya Rai Bachchan,Rakeysh Omprakash Mehra Jeff Zimbalist Amitabh Bachchan Aishwarya Rai Bachchan
2486,Bolo Hau,-2021.0,94,"Comedy, Romance",6.0,,Tarun Dhanrajgir,Jahnavi Dhanrajgir,Adnan Sajid Khan,Preeti Nigam,Tarun Dhanrajgir Jahnavi Dhanrajgir Adnan Sajid Khan Preeti Nigam
2487,Bolo Raam,-2009.0,103,"Action, Crime, Drama",5.2,85,Rakesh Chaturvedi Om,Rishi Bhutani,Disha Pandey,Padmini Kolhapure,Rakesh Chaturvedi Om Rishi Bhutani Disha Pandey Padmini Kolhapure
2488,Bolti Bulbul,-1942.0,0,,6.0,,Dhirubhai Desai,,,,Dhirubhai Desai   
2489,Bolti Nadi - Into the Sakri River Basin,-2020.0,0,Documentary,6.0,,Amir Hashmi,Amir Hashmi,,,Amir Hashmi Amir Hashmi  
2490,Bom,-2011.0,117,"Documentary, History",8.2,70,Amlan Datta,,,,Amlan Datta   
2491,Bomb Blast,-1993.0,153,"Action, Thriller",6.4,25,Deepak Balraj Vij,Ronit Roy,Aditya Pancholi,Kishori Shahane,Deepak Balraj Vij Ronit Roy Aditya Pancholi Kishori Shahane
2492,Bombai Ka Babu,-1960.0,154,"Drama, Musical, Romance",7.0,154,Raj Khosla,Dev Anand,Suchitra Sen,Jeevan,Raj Khosla Dev Anand Suchitra Sen Jeevan
2493,Bombairiya,-2019.0,104,"Comedy, Crime, Drama",4.5,381,Pia Sukanya,Radhika Apte,Akshay Oberoi,Siddhant Kapoor,Pia Sukanya Radhika Apte Akshay Oberoi Siddhant Kapoor
2494,Bombay,-1949.0,0,,6.0,,C.R. Bajaj,Bhudo Advani,Choudhry,Uday Kumar,C.R. Bajaj Bhudo Advani Choudhry Uday Kumar
2495,Bombay 405 Miles,-1980.0,164,"Comedy, Action",6.9,83,Brij,Zeenat Aman,Vinod Khanna,Shatrughan Sinha,Brij Zeenat Aman Vinod Khanna Shatrughan Sinha
2496,Bombay Boys,-1998.0,105,"Comedy, Crime, Drama",6.5,557,Kaizad Gustad,Naveen Andrews,Rahul Bose,Alexander Gifford,Kaizad Gustad Naveen Andrews Rahul Bose Alexander Gifford
2497,Bombay by Nite,-1969.0,0,"Crime, Drama",6.0,,A. Shamsheer,Sanjeev Kumar,Kumkum,Bela Bose,A. Shamsheer Sanjeev Kumar Kumkum Bela Bose
2498,Bombay Calling,-1942.0,0,,6.0,,Ghulam Rasool,,,,Ghulam Rasool   
2499,Bombay Central,-1960.0,0,Action,6.0,,Krishna Kumari,Samar Roy,Sumati,Kesari,Krishna Kumari Samar Roy Sumati Kesari
2500,Bombay Crime,-2001.0,0,Action,6.0,,Tinnu Anand,Sulabha Deshpande,Anant Jog,Bharat Kapoor,Tinnu Anand Sulabha Deshpande Anant Jog Bharat Kapoor
2501,Bombay Dreams,-2002.0,0,Musical,6.0,,Steven Pimlott,Raza Jaffrey,Preeya Kalidas,Ayesha Dharker,Steven Pimlott Raza Jaffrey Preeya Kalidas Ayesha Dharker
2502,Bombay Express,-1981.0,0,Action,5.6,5,Kamal Haasan,Madhavi,Swapna,,Kamal Haasan Madhavi Swapna 
2503,Bombay Fantasy,-1983.0,0,"Adventure, Romance",6.0,,Pankaj Dheer,Zalim Khan,Shabana Murti,Vibhushan Singh Paul,Pankaj Dheer Zalim Khan Shabana Murti Vibhushan Singh Paul
2504,Bombay Girl,-2021.0,0,Drama,6.0,,Ssanjay Tripaathi,Janhvi Kapoor,,,Ssanjay Tripaathi Janhvi Kapoor  
2505,Bombay Girls,-2001.0,0,"Drama, Adventure",6.0,,Poonam Sinha,Shakti Kapoor,Bappi Lahiri,Sonia,Poonam Sinha Shakti Kapoor Bappi Lahiri Sonia
2506,Bombay Ka Chor,-1962.0,0,"Crime, Mystery",7.0,16,S.D. Narang,Kishore Kumar,Mala Sinha,Amar,S.D. Narang Kishore Kumar Mala Sinha Amar
2507,Bombay Ka Raja,-1992.0,0,Action,6.0,,Pradeep Khanna,,,,Pradeep Khanna   
2508,Bombay Mail 109,-1980.0,135,Drama,6.0,,T.R. Sundaram,Aachi Manorama,Suruli Rajan,V.K. Ramasamy,T.R. Sundaram Aachi Manorama Suruli Rajan V.K. Ramasamy
2509,Bombay Police,-1992.0,0,Action,5.4,9,Narayana Rao Uppalapati,Nagarjuna Akkineni,J.D. Chakravarthi,Prabhu Deva,Narayana Rao Uppalapati Nagarjuna Akkineni J.D. Chakravarthi Prabhu Deva
2510,Bombay Race Course,-1965.0,0,"Crime, Drama",6.0,,Kedar Kapoor,Nalini Jaywant,Ajit,Johnny Walker,Kedar Kapoor Nalini Jaywant Ajit Johnny Walker
2511,Bombay Romance,-1991.0,0,Romance,6.0,,Jugal Raja,Shonita Joshi,Jaskaran Singh,,Jugal Raja Shonita Joshi Jaskaran Singh 
2512,Bombay Rose,-2019.0,97,"Animation, Drama, Romance",6.0,480,Gitanjali Rao,Cyli Khare,Amit Deondi,Gargi Shitole,Gitanjali Rao Cyli Khare Amit Deondi Gargi Shitole
2513,Bombay Summer,-2018.0,0,"Adventure, Romance",6.0,,Ranjeet Kumar,Sachin Kumar Meena,,,Ranjeet Kumar Sachin Kumar Meena  
2514,Bombay Talkies,-2013.0,127,Drama,6.7,"5,124",Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap,Zoya Akhtar Dibakar Banerjee Karan Johar Anurag Kashyap
2515,Bombay to Bangkok,-2008.0,120,"Comedy, Crime, Romance",4.6,417,Nagesh Kukunoor,Shreyas Talpade,Lena Christensen,Vijay Maurya,Nagesh Kukunoor Shreyas Talpade Lena Christensen Vijay Maurya
2516,Bombay to Goa,-1972.0,132,"Action, Adventure, Comedy",6.8,"1,106",Mehmood,S. Ramanathan,Mehmood,Aruna Irani,Mehmood S. Ramanathan Mehmood Aruna Irani
2517,Bombay Town,-1975.0,0,Action,6.0,,Radhakant,Padma Khanna,Rakesh Pandey,Hemant Raj,Radhakant Padma Khanna Rakesh Pandey Hemant Raj
2518,Bombay Velvet,-2015.0,149,"Action, Crime, Drama",5.6,"5,685",Anurag Kashyap,Ranbir Kapoor,Anushka Sharma,Karan Johar,Anurag Kashyap Ranbir Kapoor Anushka Sharma Karan Johar
2519,Bombay War,-1990.0,0,Action,6.0,,Vinay Apte,Dnyanadeo Aroskar,Ramesh Bhatkar,Huma Khan,Vinay Apte Dnyanadeo Aroskar Ramesh Bhatkar Huma Khan
2520,Bombshell,-1935.0,0,,6.0,,Ishwarlal,Dinkar Rao,Khurshid Begum,Hadi,Ishwarlal Dinkar Rao Khurshid Begum Hadi
2521,Bond 303,-1985.0,0,"Action, Adventure, Crime",4.9,27,Ravi Tandon,Jeetendra,Parveen Babi,Tom Alter,Ravi Tandon Jeetendra Parveen Babi Tom Alter
2522,Bond of Love,-2001.0,174,"Drama, Family",5.1,"1,584",Suneel Darshan,Amitabh Bachchan,Rakhee Gulzar,Akshay Kumar,Suneel Darshan Amitabh Bachchan Rakhee Gulzar Akshay Kumar
2523,Bonny,-1993.0,0,Romance,6.0,,Anwar Ali,Binju Ali,Mona Ambegaonkar,Raj Babbar,Anwar Ali Binju Ali Mona Ambegaonkar Raj Babbar
2524,Book of Azrael,-1991.0,0,Horror,6.0,,Rituparna DasDatta,Sahidur Rahaman,Kalpana Jha,Mishka Halim,Rituparna DasDatta Sahidur Rahaman Kalpana Jha Mishka Halim
2525,Boom,-2003.0,100,"Crime, Thriller",2.3,"1,361",Kaizad Gustad,Amitabh Bachchan,Jackie Shroff,Gulshan Grover,Kaizad Gustad Amitabh Bachchan Jackie Shroff Gulshan Grover
2526,Boom Boom Wale,-2015.0,94,"Adventure, Comedy",6.0,,Manish Pandya,Ankush Deshmukh,Siddhartha Mishra,,Manish Pandya Ankush Deshmukh Siddhartha Mishra 
2527,Boond,-2001.0,137,"Action, Crime, Drama",4.2,10,Inayat Mahshar,Navin Berry,Pankaj Berry,Birbal,Inayat Mahshar Navin Berry Pankaj Berry Birbal
2528,Boond Jo Ban Gayee Moti,-1967.0,0,"Crime, Drama, Romance",6.8,31,Shantaram Rajaram Vankudre,Jeetendra,Mumtaz,Akashdeep,Shantaram Rajaram Vankudre Jeetendra Mumtaz Akashdeep
2529,Boondi Raita,-1991.0,0,Drama,6.0,,Kamal Chandra,Sonnalli Seygall,Rajesh Sharma,Shilpa Shinde,Kamal Chandra Sonnalli Seygall Rajesh Sharma Shilpa Shinde
2530,Boot Polish,-1954.0,90,"Comedy, Drama, Family",8.0,780,Prakash Arora,Kumari Naaz,Ratan Kumar,David Abraham,Prakash Arora Kumari Naaz Ratan Kumar David Abraham
2531,Border,-1997.0,176,"Action, Drama, History",7.9,"14,399",J.P. Dutta,Sunny Deol,Sunil Shetty,Akshaye Khanna,J.P. Dutta Sunny Deol Sunil Shetty Akshaye Khanna
2532,Border Hindustan Ka,-2003.0,0,"Action, Romance",5.1,83,Yogesh Bharadwaj,Faisal Khan,Rajat Bedi,Aditya Pancholi,Yogesh Bharadwaj Faisal Khan Rajat Bedi Aditya Pancholi
2533,Border Kashmir,-2002.0,107,Action,2.9,7,Teerat Singh,Dharmendra,Dinesh Hingoo,Anjali Kholapure,Teerat Singh Dharmendra Dinesh Hingoo Anjali Kholapure
2534,Borderlands,-2021.0,0,Documentary,9.0,7,Samarth Mahajan,,,,Samarth Mahajan   
2535,Borivali Ka Bruce Lee,-1991.0,0,Comedy,6.0,,Ashutosh Warang,Ayesha Takia,Ashwin Mushran,Supriya Pilgaonkar,Ashutosh Warang Ayesha Takia Ashwin Mushran Supriya Pilgaonkar
2536,Boss,-1989.0,0,Action,6.0,,Mithun Chakraborty,Kiran Kumar,,,Mithun Chakraborty Kiran Kumar  
2537,Boss,-2013.0,143,"Action, Comedy, Crime",5.1,"10,583",Anthony D'Souza,Akshay Kumar,Shiv Panditt,Mithun Chakraborty,Anthony D'Souza Akshay Kumar Shiv Panditt Mithun Chakraborty
2538,Box,-2016.0,96,Thriller,6.0,,Avijit Bose,Dibyendu Bhattacharya,,,Avijit Bose Dibyendu Bhattacharya  
2539,Boxed,-2021.0,115,Adventure,6.4,10,Mohd Feroz Qureshi,Mantosh Kumar,Jahina Mulla Qureshi,Mohd Feroz Qureshi,Mohd Feroz Qureshi Mantosh Kumar Jahina Mulla Qureshi Mohd Feroz Qureshi
2540,Boxer,-1965.0,136,Drama,7.5,13,Radhakant,Dara Singh,Mumtaz,Azaad Irani,Radhakant Dara Singh Mumtaz Azaad Irani
2541,Boxer,-1984.0,0,"Action, Drama, Sport",6.2,126,Raj N. Sippy,Tanuja,Mithun Chakraborty,Rati Agnihotri,Raj N. Sippy Tanuja Mithun Chakraborty Rati Agnihotri
2542,Boxer,-1991.0,164,Drama,6.0,,Vivek,Arun Vijay,Ritika Singh,Sanjjanaa Galrani,Vivek Arun Vijay Ritika Singh Sanjjanaa Galrani
2543,Boy Friend,-1961.0,137,"Drama, Romance",7.6,60,Naresh Saigal,Shammi Kapoor,Madhubala,Nishi,Naresh Saigal Shammi Kapoor Madhubala Nishi
2544,Boy Friend,-1993.0,0,Romance,4.4,8,Ramesh U. Lakhiani,Sheeba,Ravi Behl,Kiran Kumar,Ramesh U. Lakhiani Sheeba Ravi Behl Kiran Kumar
2545,Boyfriend.com,-2018.0,0,Drama,6.0,,Robin Chourasia,Deepti,Ajay Kumar,Swapna Pati,Robin Chourasia Deepti Ajay Kumar Swapna Pati
2546,Boys Who Like Girls,-2018.0,68,Documentary,6.9,19,Inka Achté,Aspar Husain,Vedprakash Jaiswal,Harish Sadani,Inka Achté Aspar Husain Vedprakash Jaiswal Harish Sadani
2547,Boyss Toh Boyss Hain,-2013.0,0,Comedy,5.5,43,Amit Vats,Gulshan Grover,Rajkummar Rao,Anshuman Jha,Amit Vats Gulshan Grover Rajkummar Rao Anshuman Jha
2548,Brahma,-1994.0,0,"Crime, Drama, Mystery",5.1,38,K. Subhash,Govinda,Madhoo,Ayesha Jhulka,K. Subhash Govinda Madhoo Ayesha Jhulka
2549,Brahma Vishnu Mahesh,-1971.0,123,Fantasy,6.0,,Babubhai Mistry,Mahipal,Uma,Trilok Kapoor,Babubhai Mistry Mahipal Uma Trilok Kapoor
2550,Brahmachari,-1968.0,157,"Comedy, Drama, Musical",6.9,366,Bhappi Sonie,Shammi Kapoor,Rajshree,Pran,Bhappi Sonie Shammi Kapoor Rajshree Pran
2551,Brahmachari,-1938.0,156,,6.0,,Master Vinayak,Master Vinayak,Meenaxi,V.G. Jog,Master Vinayak Master Vinayak Meenaxi V.G. Jog
2552,Brahmarshi Vishwamitra,-1991.0,0,"Drama, Musical",7.3,50,N.T. Rama Rao,N.T. Rama Rao,Nandamuri Balakrishna,Bhanupriya,N.T. Rama Rao N.T. Rama Rao Nandamuri Balakrishna Bhanupriya
2553,Brahmastra,-2021.0,0,"Action, Adventure, Fantasy",6.0,,Ayan Mukherjee,Dian Hristov,Dimple Kapadia,Amitabh Bachchan,Ayan Mukherjee Dian Hristov Dimple Kapadia Amitabh Bachchan
2554,Brainwashed,-2019.0,0,Biography,6.0,,Arjun Rao,Rajesh Bonik,Ijaz Khan,Sanam Khan,Arjun Rao Rajesh Bonik Ijaz Khan Sanam Khan
2555,Brandy Ki Botal,-1939.0,146,,6.0,,Master Vinayak,Master Vinayak,V.G. Jog,Salvi,Master Vinayak Master Vinayak V.G. Jog Salvi
2556,Break Ke Baad,-2010.0,118,"Comedy, Drama, Romance",5.2,"4,033",Danish Aslam,Deepika Padukone,Shahana Goswami,Sharmila Tagore,Danish Aslam Deepika Padukone Shahana Goswami Sharmila Tagore
2557,Breakaway,-2011.0,101,"Comedy, Drama, Sport",5.7,"2,237",Robert Lieberman,Vinay Virmani,Camilla Belle,Russell Peters,Robert Lieberman Vinay Virmani Camilla Belle Russell Peters
2558,Breaking All the Way,-2018.0,0,Documentary,6.0,,Sunita Malpani,Bboy NeverMind,Bboy Hardluck,Bgirl ShawtyPink,Sunita Malpani Bboy NeverMind Bboy Hardluck Bgirl ShawtyPink
2559,Breaking Free,-2015.0,82,"Documentary, Crime, History",6.3,33,Sridhar Rangayan,Vivek Anand,Manohar Elavarthi,Anand Grover,Sridhar Rangayan Vivek Anand Manohar Elavarthi Anand Grover
2560,Breakup,-2018.0,0,Romance,6.0,,Munna Rizvi,Sahil Akhtar,Kuwar Aziz,Sheetal Kale,Munna Rizvi Sahil Akhtar Kuwar Aziz Sheetal Kale
2561,Breathtaken...,-1991.0,0,"Animation, Action, Adventure",6.0,,,,,,   
2562,Breed,-2020.0,0,Drama,9.6,48,Bobby Kumar,Bobby Kumar,Ashfaq,Fasih Choudhry,Bobby Kumar Bobby Kumar Ashfaq Fasih Choudhry
2563,Bride & Prejudice,-2004.0,122,"Comedy, Drama, Musical",6.2,"20,125",Gurinder Chadha,Martin Henderson,Aishwarya Rai Bachchan,Nadira Babbar,Gurinder Chadha Martin Henderson Aishwarya Rai Bachchan Nadira Babbar
2564,Bride: The Dulhan,-2005.0,0,Thriller,6.0,,,,,,   
2565,Bridge of illusion,-1991.0,0,Thriller,6.0,,Santosh Ojha,Rahat Kazmi,Prakriti Nautiyal,Ramkishan Gurjar,Santosh Ojha Rahat Kazmi Prakriti Nautiyal Ramkishan Gurjar
2566,Brij Bhoomi,-1982.0,0,Action,6.0,,Shiv Kumar,Bharti Achrekar,Tom Alter,Aruna Irani,Shiv Kumar Bharti Achrekar Tom Alter Aruna Irani
2567,Brij Kau Birju,-2003.0,0,,6.0,,Siddharth Nagar,Jharna Dave,Ayush Pandey,Shweta Rastogi,Siddharth Nagar Jharna Dave Ayush Pandey Shweta Rastogi
2568,Brij Sundari,-1989.0,0,Drama,6.0,,,,,,   
2569,Brina,-2016.0,0,Drama,7.5,8,Pawan Kumar Sharma,Mandakini Goswami,Rajesh Jais,Sanjay Mishra,Pawan Kumar Sharma Mandakini Goswami Rajesh Jais Sanjay Mishra
2570,Bring Back Bihar,-2009.0,0,Documentary,6.0,,Nitin Chandra,Avatar Tulsi,,,Nitin Chandra Avatar Tulsi  
2571,Brochevarevarura Hindi Remake,-1991.0,0,Drama,6.0,,Karan Deol,,,,Karan Deol   
2572,Brojaan,-1991.0,0,Drama,6.0,,,,,,   
2573,Broken Wings,-1991.0,125,Drama,6.0,,Shenpenn Khymsar,Sunakshi Grover,Vinay Pathak,Neetu Pande,Shenpenn Khymsar Sunakshi Grover Vinay Pathak Neetu Pande
2574,"Brother, Superhit!",-2018.0,139,"Action, Comedy, Drama",3.9,554,Neeraj Pathak,Sunny Deol,Preity Zinta,Arshad Warsi,Neeraj Pathak Sunny Deol Preity Zinta Arshad Warsi
2575,Brothers,-2015.0,156,"Action, Drama, Sport",6.5,"12,018",Karan Malhotra,Akshay Kumar,Sidharth Malhotra,Jackie Shroff,Karan Malhotra Akshay Kumar Sidharth Malhotra Jackie Shroff
2576,Brunie,-1991.0,0,Romance,6.0,,Suraj Chitre,Saaikat Bagbaan,Rahul Kumar,Raayo S. Bakhirta,Suraj Chitre Saaikat Bagbaan Rahul Kumar Raayo S. Bakhirta
2577,Bub (Father),-2001.0,114,Drama,7.6,17,Jyoti Sarup,K.K. Raina,Kuber Sarup,Virendra Razdan,Jyoti Sarup K.K. Raina Kuber Sarup Virendra Razdan
2578,Bubble Gum,-2011.0,116,Drama,7.3,456,Sanjivan Lal,Apoorva Arora,Tanvi Azmi,Delzad Hiwale,Sanjivan Lal Apoorva Arora Tanvi Azmi Delzad Hiwale
2579,Buchcha,-2017.0,89,"Adventure, Drama, Family",7.2,6,Pankaj Kumar,Shabana Afreen,Dharmendra Ahirwar,Pooja Bharti,Pankaj Kumar Shabana Afreen Dharmendra Ahirwar Pooja Bharti
2580,Bud Naseeb,-1986.0,0,Drama,6.0,,Shiv Kumar,Ahalya,Bhakti Bhansali,Krishan Bhutani,Shiv Kumar Ahalya Bhakti Bhansali Krishan Bhutani
2581,Buddha 1936,-1936.0,0,Drama,6.0,,John Hunt,,,,John Hunt   
2582,Buddha in a Traffic Jam,-2016.0,114,"Crime, Thriller",6.7,"2,346",Vivek Agnihotri,Aanchal Dwivedi,Mahie Gill,Pallavi Joshi,Vivek Agnihotri Aanchal Dwivedi Mahie Gill Pallavi Joshi
2583,Buddha Mar Gaya,-2007.0,93,Comedy,2.6,356,Rahul Rawail,Mona Ambegaonkar,Jitender Bhargava,Birbal,Rahul Rawail Mona Ambegaonkar Jitender Bhargava Birbal
2584,Buddha Mil Gaya,-1971.0,138,"Musical, Mystery, Drama",7.0,244,Hrishikesh Mukherjee,Navin Nischol,Om Prakash,Archana,Hrishikesh Mukherjee Navin Nischol Om Prakash Archana
2585,Buddha.mov,-2017.0,70,,6.7,33,Kabir Mehta,,,,Kabir Mehta   
2586,Buddhu Aur DCM,-1959.0,0,Documentary,6.0,,Kantilal Rathod,,,,Kantilal Rathod   
2587,Budhayaan,-1991.0,90,"Adventure, Drama, Sci-Fi",6.0,,Vishwanath Batchu,Sagar,Pawan,,Vishwanath Batchu Sagar Pawan 
2588,Budhia Singh: Born to Run,-2016.0,112,"Biography, Drama, Sport",7.6,"1,393",Soumendra Padhi,Manoj Bajpayee,Mayur Mahendra Patole,Gajraj Rao,Soumendra Padhi Manoj Bajpayee Mayur Mahendra Patole Gajraj Rao
2589,Budtameez,-1966.0,145,"Comedy, Drama, Romance",7.4,78,Manmohan Desai,Shammi Kapoor,Sadhana,Laxmi Chhaya,Manmohan Desai Shammi Kapoor Sadhana Laxmi Chhaya
